Institution,AverageNetCost,Quintile1,Quintile2,Quintile3,Quintile4,Quintile5
Western Suffolk BOCES,27199,25686,27289,28358,30425,30425
Pennsylvania State University-Main Campus,27032,19268,21229,25028,28929,30485
University of Pittsburgh-Pittsburgh Campus,26861,20132,22598,25108,28385,29598
Colorado School of Mines,24980,19966,20756,25363,27363,27375
College of William and Mary,24377,20724,21937,24794,25905,25938
Miami University-Oxford,24267,16604,19838,24345,26054,26688
University of New Hampshire-Main Campus,23861,16532,18656,21800,26142,28847
